VBTF PRS ang PRSP sarili  | Ilalagay ko ang aking sarili | true true false true false
sabi ng NNC sa kanya  | sabi ng bulaklak sa kanya | false false true false false
PRS VBOF ang iyong NNC  | mo pinatay ang iyong ilaw | true true false false true
PRS RBI hindi PRS PRO  | ko kaya hindi mo ito | true true false true true
Talaga ngang JJD ang matatanda  | Talaga ngang kakaiba ang matatanda | false false true false false
VBOF niya ang kanyang NNC  | pinatay niya ang kanyang ilaw | true false false false true
VBW sa kanya ng JJD  | sagot sa kanya ng hambog | true false false false true
Idrowing mo ako ng PRI  | Idrowing mo ako ng isang | false false false false true
ay ang mga nasa NNP  | ay ang mga nasa Afrika | false false false false true
PRS VBTS ang PRSP NNC  | niyang sinindihan ang kanyang ilaw | true true false true true
rin PRS sa kanyang NNC  | rin ako sa kanyang taas | false true false false true
RBI PRS sa akin :  | naman siya sa akin : | true true false false false
QOT VBW sa kanya ng  | QOT sabi sa kanya ng | false true false false false
VBW sa kanya ng NNC  | sabi sa kanya ng hari | true false false false true
sa NNC ang munting prinsipe  | sa galit ang munting prinsipe | false true false false false
QOT VBAF ang munting prinsipe  | QOT sumagot ang munting prinsipe | false true false false false
VBAF ang munting prinsipe na  | sumagot ang munting prinsipe na | true false false false false
ang munting prinsipe na VBTR  | ang munting prinsipe na nalilito | false false false false true
NNC na JJD ang NNC  | kaibigan na magaan ang loob | true false true false true
VBTS ng munting prinsipe :  | idinugtong ng munting prinsipe : | true false false false false
sinabi niya sa NNC ,  | sinabi niya sa wakas , | false false false true false
niya sa NNC , QOT  | niya sa wakas , QOT | false false true false false
ng NNC na JJD ang  | ng lasenggo na nakalungayngay ang | false true false true false
VBTR RBI sila ng mga  | kumakain din sila ng mga | true true false false false
JJD RBI ang NNC PRS  | Ubos na ang pasensya ko | true true false true true
RBI sila ng mga NNC  | din sila ng mga baobab | true false false false true
At mga NNC at mga  | At mga siyudad at mga | false false true false false
mga NNC at mga NNC  | mga siyudad at mga ilog | false true false false true
Ngunit sinabi PRS sa PRSP  | Ngunit sinabi niya sa akin | false false true false true
QOT ang RBD na sagot  | QOT ang malambing na sagot | false false true false false
ang RBD na sagot ng  | ang malambing na sagot ng | false true false false false
QOT RBD RBD ng hari  | QOT nagmamadaling sinabi ng hari | false true true false false
sabi ng munting prinsipe CCT  | sabi ng munting prinsipe sa | false false false false true
ng munting prinsipe sa PRSP  | ng munting prinsipe sa kanya | false false false false true
CDB at CDB ay CDB  | Tatlo at dalawa ay lima | true false true false true
at CDB ay dalawampu't CDB  | at pito ay dalawampu't dalawa | false true false false true
QOT VBW naman ng NNC  | QOT sabi naman ng bulaklak | false true false false true
QOT VBW ng munting prinsipe  | QOT sabi ng munting prinsipe | false true false false false
CCB NNC ang mga NNC  | ng damo ang mga tigre | true true false false true
RBD na RBD ng munting  | matatag na sagot ng munting | true false true false false
VBTF mo PRS ng NNC  | Tatakluban mo ako ng garapon | true false true false true
ang NNC PRS sa PRSP  | ang sabi niya sa akin | false true true false true
PRS sa PRSP , QOT  | niya sa akin , QOT | true false true false false
At makikita PRS kung RBQ  | At makikita mo kung paano | false false true false true
sinabi RBI niya sa PRSP  | sinabi pa niya sa kanila | false true false false true
JJD RBI ang mga NNC  | panandalian lamang ang mga bulaklak | true true false false true
QOT VBTS PRS sa PRSP  | QOT ipinagtapat niya sa akin | false true true false true
ibig sabihin n'yon PMS QOT  | ibig sabihin n'yon – QOT | false false false true false
sinabi PRS sa PRSP :  | sinabi mo sa akin : | false true false true false
VBTS ko sa PRSP NNC  | inaksaya ko sa 'king rosas | true false false true true
QOT VBW ng mga rosas  | QOT sabi ng mga rosas | false true false false false
RBI RBI JJD ang munting  | pa rin kumbinsido ang munting | true true true false false
RBD RBD ng munting prinsipe  | seryosong sinabi ng munting prinsipe | true true false false false
RBI JJD ang munting prinsipe  | rin kumbinsido ang munting prinsipe | true true false false false
RBF NNC ang PRSP NNC  | Hindi sombrero ang aking drowing | true true false true true
Pananagutan PRS ang rosas PRS  | Pananagutan mo ang rosas mo | false true false false true
QOT VBW ng tagapaglihis ng  | QOT sagot ng tagapaglihis ng | false true false false false
VBW ng tagapaglihis ng riles  | sagot ng tagapaglihis ng riles | true false false false false
QOT VBTS ng munting prinsipe  | QOT sinabi ng munting prinsipe | false true false false false
VBAF ang munting prinsipe ,  | sumabad ang munting prinsipe , | true false false false false
NNC na VBTR ko RBW  | bulaklak na dinidilig ko araw-araw | true false true false true
ang NNC ng mga NNC  | ang gamit ng mga tinik | false true false false true
VBTR ko ang mga NNC  | Hinahanap ko ang mga tao | true false false false true
QOT ang VBW PRS sa  | QOT ang sabi niya sa | false false true true false
ang ibig sabihin n'yon PMS  | ang ibig sabihin n'yon : | false false false false true
QOT sabi ng NNC ,  | QOT sabi ng hari , | false false false true false
sabi ng NNC , QOT  | sabi ng hari , QOT | false false true false false
QOT sinabi niya sa NNC  | QOT sinabi niya sa wakas | false false false false true
